Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,PercentDD,Trades,ReEntryExtension,PTAsTimeREExt,CloseBreakEvenAfter,Pair
16027,95077314.00,-115442.60,-128.41224,0.05127,-0.97271,-1.59703,95077314,118.69,899,0.2,1.6,4,AUDCAD
16399,122077314.00,-115382.97,-130.96818,0.05112,-0.97223,-1.60310,122077314,118.68,881,0.2,1.7,4,AUDCAD
10075,73077314.00,-116450.94,-113.61067,0.03498,-0.98116,-1.66124,73077314,118.68,1025,0.2,1.6,3,AUDCAD
9703,72077114.00,-116355.39,-108.13698,0.02995,-0.98163,-1.66348,72077114,118.53,1076,0.2,1.5,3,AUDCAD
21979,129077114.00,-114689.55,-133.05052,0.06956,-0.96764,-1.56357,129077114,118.53,862,0.2,1.6,5,AUDCAD
3751,60076114.00,-109448.97,-76.86023,0.02604,-0.99027,-1.63500,60076114,110.53,1424,0.2,1.5,2,AUDCAD
7099,58069814.00,-106761.65,-67.74216,0.03581,-0.98550,-2.18757,58069814,108.33,1576,0.2,0.8,3,AUDCAD
21235,129055314.00,-104174.47,-111.53584,0.07901,-0.97256,-1.93433,129055314,107.12,934,0.2,1.4,5,AUDCAD
15283,102055314.00,-104685.72,-104.68572,0.05479,-0.97730,-2.01148,102055314,107.12,1000,0.2,1.4,4,AUDCAD
20863,130055214.00,-103905.72,-105.16773,0.08531,-0.97033,-1.93977,130055214,107.08,988,0.2,1.3,5,AUDCAD
4123,61055214.00,-106213.96,-77.81243,0.02394,-0.99213,-2.34325,61055214,107.06,1365,0.2,1.6,2,AUDCAD
11191,102068414.00,-105740.65,-112.97078,0.03276,-0.98816,-2.22071,102068414,107.01,936,0.2,1.9,3,AUDCAD
11563,100068414.00,-105611.14,-115.42201,0.03544,-0.98695,-2.24614,100068414,107.01,915,0.2,2,3,AUDCAD
14911,122054614.00,-103507.08,-95.57440,0.06279,-0.97275,-1.98068,122054614,106.41,1083,0.2,1.3,4,AUDCAD
3007,65054514.00,-105219.79,-69.77440,0.03366,-0.98895,-2.26069,65054514,106.40,1508,0.2,1.3,2,AUDCAD
7843,67067314.00,-104361.60,-75.78911,0.03907,-0.98607,-2.16266,67067314,105.84,1377,0.2,1,3,AUDCAD
20491,130080214.00,32546.82,15.01930,2.03638,0.35159,-0.01750,130080214,92.57,2167,0.2,1.2,5,AUDCAD
14539,130080214.00,32419.10,13.76023,2.10795,0.35021,-0.00877,130080214,92.57,2356,0.2,1.2,4,AUDCAD
